junction,responsible_station,distance_km
SantheCircle,Yelahanka Police Station,0.53
SarjapurRd-St JohnsRdJunc,Madiwala Traffic Police Station,0.92
SatteliteBusStandJunc,Vijayanagara Traffic Police Station,0.77
ShankarMuttCircle,Mahalakshmipuram Police Station,0.78
ShantalaJunction,Upparpet Traffic Police Station,0.49
ShivajiTalkiesJunc,S.J. Park Police,0.19
Shivajinagar(BRV)Junction,Additional Director General of Police,0.3
ShivanahalliJunctionWOC,Rajaji Nagar Police Station,0.66
ShivandaCircle,High Grounds Traffic Police Station,0.48
Shivashankara circle,Central Police Station,0.34
SiddalingaiahCircle,Cubbon Park Traffic Police Station,0.63
SiddapuraJunction,Wilson Garden Police Station,0.18
SilkBoardJunc,Madiwala Traffic Police Station,0.5
SindhiColonyJunction,Bharthinagar Police Station,0.6
SirsiCircle,Chamarajapet Police Station,0.42
SonyworldJunction,Koramangala Police Station,0.78
South end circle,Basavangudi Police Station,0.76
Srigandakaval,Byadarahalli Police Station,2.06
Srinivagilu(Ejipura)Junc,Koramangala Police Station,1.42
StateBankofMysoreJunc,Avenue Road Police Chowky,0.73
SubbannaJunction,Department of Prisons & Correctional Services,0.6
SubedarChatramRd near SheshadripuramPS,Seshadripuram Police Station,0.08
Sumanhalli,Basaveshwaranagar Police Station,2.41
SwagathMainRd-EastEndRdJunc,Tilaknagar Police Station,0.71
TC Palya-OM RoadJunc,KR Puram Police Station,1.68
TVS CrossJunction,Peenya Police Station,0.88
TamarikannanJunc,Halasuru Police Station,0.82
TataInstituteCircle,Sadhashivanagar Police Station,0.75
ThomasCafe-New,Bharthinagar Police Station,0.2
TownhallJunction,S.J. Park Police,0.36
"Trilight Circle,Race course Road",High Grounds Traffic Police Station,0.06
TrinityCircle,Karnataka State Reserve Police,0.41
TumkurRdMarappanapalyaJunc,DCP Bangalore North Traffic Police,0.55
TyagiHengalvarayaJunc(DickensonRd),Commercial Street Police Station,0.27
UCO Bank(Forum),Adugodi Police Station,0.65
UlsoorGateJunc,Halasuru Gate Traffic Police Station,0.07
UniversityJunc(Janabharti),Rajarajeshwari Nagar Police Station,2.69
UpparpetJunction,Upparpet Traffic Police Station,0.03
UrvashiJunction,S.J. Park Police,0.65
UttarahalliJunction,Kumaraswamy Layout Police Station,1.95
"VeerannapalyaJunction(BEL,HO)",Amrutahalli Police Station,2.36
VeerasandraGateJunction,Bellanduru Police Station,8.82
VetenaryHospitalJunc-Shivajinagar,Shivajinagar Traffic Police Station,0.48
VijayanagarBusStandJunction,Traffic Police Station,0.12
VishweswaraiahJunctio(Uttamsagar),Banaswadi Police Station,1.14
WebbsCircle,Ashok Nagar Police Station,0.47
WilsonGarden10thCrossJunc,Wilson Garden Police Station,0.47
WilsonGarden12thCrossJunc,NIMHANS Police Outpost,0.48
WiproJunc-Koramangala,Madiwala Traffic Police Station,1.66
YediyurMeternityHospital,Jayanagar 4th Block Police Station,0.51
YelhankaBypass,Yelahanka Police Station,1.46
YelhankaCircle,Yelahanka Police Station,0.26
Yemalur cross junc,Traffic Police Cabin,0.83
YeshwanthpuraCircle,DCP Bangalore North Traffic Police,0.14
toll gate mysore road,J J R Nagar Police station,0.84
